,Address,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,21th Most Common Venue,22th Most Common Venue,23th Most Common Venue,24th Most Common Venue,25th Most Common Venue
239,"Salem, Oregon",Mexican Restaurant,American Restaurant,Pizza Place,Sandwich Place,Café,Burger Joint,Sushi Restaurant,BBQ Joint,Breakfast Spot,Italian Restaurant,Fast Food Restaurant,Japanese Restaurant,Thai Restaurant,Bakery,Chinese Restaurant,Vegetarian / Vegan Restaurant,Steakhouse,Asian Restaurant,New American Restaurant,Seafood Restaurant,Korean Restaurant,Food,Diner,Indian Restaurant,Taco Place
240,"Salinas, California",Mexican Restaurant,Seafood Restaurant,Bakery,Italian Restaurant,Breakfast Spot,Sandwich Place,New American Restaurant,American Restaurant,French Restaurant,Mediterranean Restaurant,Sushi Restaurant,Pizza Place,Japanese Restaurant,Thai Restaurant,Burger Joint,Vietnamese Restaurant,Café,BBQ Joint,Chinese Restaurant,Deli / Bodega,Diner,Wings Joint,Korean Restaurant,Vegetarian / Vegan Restaurant,Taco Place
241,"Salt Lake City, Utah",Pizza Place,Mexican Restaurant,Sandwich Place,Vegetarian / Vegan Restaurant,Bakery,Café,New American Restaurant,Burger Joint,Greek Restaurant,American Restaurant,Italian Restaurant,Indian Restaurant,Japanese Restaurant,Mediterranean Restaurant,Diner,Breakfast Spot,Thai Restaurant,Vietnamese Restaurant,Asian Restaurant,Deli / Bodega,Seafood Restaurant,Middle Eastern Restaurant,Sushi Restaurant,Hot Dog Joint,Noodle House
242,"San Angelo, Texas",Mexican Restaurant,Fast Food Restaurant,American Restaurant,Café,Steakhouse,Pizza Place,Deli / Bodega,Sandwich Place,BBQ Joint,Taco Place,Diner,New American Restaurant,Seafood Restaurant,Fried Chicken Joint,Wings Joint,Burger Joint,Vietnamese Restaurant,Japanese Restaurant,Tex-Mex Restaurant,Italian Restaurant,Asian Restaurant,Eastern European Restaurant,Empanada Restaurant,Halal Restaurant,English Restaurant
243,"San Antonio, Texas",Mexican Restaurant,Burger Joint,Pizza Place,Bakery,American Restaurant,Sushi Restaurant,Breakfast Spot,Vegetarian / Vegan Restaurant,Mediterranean Restaurant,Sandwich Place,Taco Place,Italian Restaurant,Seafood Restaurant,New American Restaurant,Fast Food Restaurant,Chinese Restaurant,Thai Restaurant,Steakhouse,BBQ Joint,Deli / Bodega,Snack Place,Korean Restaurant,Cajun / Creole Restaurant,Japanese Restaurant,Food Court
244,"San Bernardino, California",Mexican Restaurant,Burger Joint,American Restaurant,Italian Restaurant,Sushi Restaurant,Bakery,Fast Food Restaurant,Pizza Place,Thai Restaurant,Café,Sandwich Place,Gastropub,Breakfast Spot,Seafood Restaurant,Taco Place,Chinese Restaurant,Deli / Bodega,Donut Shop,Food Truck,Salad Place,Diner,Caribbean Restaurant,Hawaiian Restaurant,Japanese Restaurant,Southern / Soul Food Restaurant
245,"San Diego, California",Seafood Restaurant,American Restaurant,Pizza Place,Mexican Restaurant,Sandwich Place,New American Restaurant,Burger Joint,Italian Restaurant,Thai Restaurant,Deli / Bodega,Breakfast Spot,Vegetarian / Vegan Restaurant,Sushi Restaurant,BBQ Joint,Taco Place,Mediterranean Restaurant,Greek Restaurant,Japanese Restaurant,Fast Food Restaurant,Salad Place,Chinese Restaurant,Cajun / Creole Restaurant,Middle Eastern Restaurant,Noodle House,Donut Shop
246,"San Francisco, California",Seafood Restaurant,American Restaurant,Sandwich Place,Pizza Place,Bakery,Café,Deli / Bodega,Korean Restaurant,Burger Joint,Chinese Restaurant,Italian Restaurant,New American Restaurant,Mexican Restaurant,Sushi Restaurant,Indian Restaurant,Dumpling Restaurant,Caribbean Restaurant,Czech Restaurant,Udon Restaurant,Filipino Restaurant,Asian Restaurant,Breakfast Spot,Ethiopian Restaurant,Peruvian Restaurant,Vietnamese Restaurant
247,"San Jose, California",Sandwich Place,Pizza Place,Mexican Restaurant,Korean Restaurant,Breakfast Spot,Vietnamese Restaurant,Burger Joint,Vegetarian / Vegan Restaurant,American Restaurant,Bakery,Seafood Restaurant,Japanese Restaurant,Café,Greek Restaurant,Donut Shop,Deli / Bodega,Chinese Restaurant,New American Restaurant,Italian Restaurant,Cajun / Creole Restaurant,Steakhouse,BBQ Joint,Falafel Restaurant,Fast Food Restaurant,Peruvian Restaurant
248,"San Mateo, California",Pizza Place,Café,Bakery,New American Restaurant,Burger Joint,Breakfast Spot,Sushi Restaurant,Vietnamese Restaurant,Seafood Restaurant,Food Truck,Mexican Restaurant,Italian Restaurant,Sandwich Place,Ethiopian Restaurant,Souvlaki Shop,South American Restaurant,Japanese Restaurant,Greek Restaurant,French Restaurant,Latin American Restaurant,Gastropub,American Restaurant,Deli / Bodega,Burrito Place,Russian Restaurant
249,"Sandy Springs, Georgia",Pizza Place,American Restaurant,Sandwich Place,Mediterranean Restaurant,Café,Burger Joint,Italian Restaurant,BBQ Joint,Steakhouse,Seafood Restaurant,Vietnamese Restaurant,Sushi Restaurant,Taco Place,Mexican Restaurant,Tapas Restaurant,Bakery,Cuban Restaurant,Thai Restaurant,Brazilian Restaurant,Latin American Restaurant,Comfort Food Restaurant,Deli / Bodega,Greek Restaurant,Ramen Restaurant,Cajun / Creole Restaurant
250,"Santa Ana, California",American Restaurant,Seafood Restaurant,Pizza Place,Bakery,Mexican Restaurant,Burger Joint,Steakhouse,Italian Restaurant,Korean Restaurant,Sandwich Place,Vegetarian / Vegan Restaurant,Fast Food Restaurant,Mediterranean Restaurant,Sushi Restaurant,Café,Japanese Restaurant,French Restaurant,Donut Shop,New American Restaurant,Latin American Restaurant,Chinese Restaurant,Food Court,Salad Place,Deli / Bodega,Cuban Restaurant
251,"Santa Clara, California",Sandwich Place,Pizza Place,American Restaurant,Mexican Restaurant,Vegetarian / Vegan Restaurant,Korean Restaurant,Café,Middle Eastern Restaurant,Japanese Restaurant,Seafood Restaurant,Cajun / Creole Restaurant,Italian Restaurant,Falafel Restaurant,Mediterranean Restaurant,Chinese Restaurant,Israeli Restaurant,Donut Shop,Fast Food Restaurant,Burger Joint,Greek Restaurant,Breakfast Spot,Vietnamese Restaurant,Sushi Restaurant,Steakhouse,Food Court
252,"Santa Clarita, California",Italian Restaurant,Sushi Restaurant,American Restaurant,Pizza Place,Bakery,Sandwich Place,Deli / Bodega,Steakhouse,Café,Burger Joint,Mexican Restaurant,Vegetarian / Vegan Restaurant,BBQ Joint,Mediterranean Restaurant,Poke Place,Japanese Restaurant,Breakfast Spot,Brazilian Restaurant,New American Restaurant,French Restaurant,Vietnamese Restaurant,Food Truck,Taco Place,Tapas Restaurant,Thai Restaurant
253,"Santa Maria, California",American Restaurant,Mexican Restaurant,Seafood Restaurant,Sushi Restaurant,Burger Joint,Pizza Place,Breakfast Spot,BBQ Joint,New American Restaurant,Sandwich Place,Steakhouse,Café,Fast Food Restaurant,Deli / Bodega,Donut Shop,Chinese Restaurant,Thai Restaurant,Italian Restaurant,Gastropub,Asian Restaurant,Snack Place,Mediterranean Restaurant,Food,Comfort Food Restaurant,Irish Pub
254,"Santa Rosa, California",American Restaurant,New American Restaurant,Mexican Restaurant,Thai Restaurant,Bakery,Breakfast Spot,Deli / Bodega,Café,Pizza Place,Burger Joint,BBQ Joint,Italian Restaurant,Japanese Restaurant,Sandwich Place,Seafood Restaurant,Fast Food Restaurant,Vegetarian / Vegan Restaurant,Diner,Indian Restaurant,Bistro,Hot Dog Joint,Falafel Restaurant,Chinese Restaurant,Salvadoran Restaurant,Gastropub
255,"Savannah, Georgia",Seafood Restaurant,American Restaurant,Breakfast Spot,Italian Restaurant,Café,Southern / Soul Food Restaurant,Pizza Place,Mexican Restaurant,Asian Restaurant,Diner,Sandwich Place,Burger Joint,Bistro,BBQ Joint,Bakery,Gastropub,Sushi Restaurant,Steakhouse,New American Restaurant,Cajun / Creole Restaurant,Cuban Restaurant,Fondue Restaurant,Persian Restaurant,African Restaurant,Vegetarian / Vegan Restaurant
256,"Scottsdale, Arizona",Pizza Place,American Restaurant,Mexican Restaurant,Burger Joint,Seafood Restaurant,Italian Restaurant,Mediterranean Restaurant,New American Restaurant,Café,Vegetarian / Vegan Restaurant,Steakhouse,Sushi Restaurant,Breakfast Spot,Gluten-free Restaurant,Chinese Restaurant,Greek Restaurant,Hot Dog Joint,Middle Eastern Restaurant,Sandwich Place,Deli / Bodega,Fast Food Restaurant,Donut Shop,Caribbean Restaurant,English Restaurant,Bagel Shop
257,"Seattle, Washington",Italian Restaurant,Bakery,Seafood Restaurant,American Restaurant,Vietnamese Restaurant,French Restaurant,Breakfast Spot,Sandwich Place,Pizza Place,Sushi Restaurant,Japanese Restaurant,Café,Donut Shop,Dumpling Restaurant,Taco Place,Thai Restaurant,Poke Place,Vegetarian / Vegan Restaurant,Middle Eastern Restaurant,Mediterranean Restaurant,Korean Restaurant,Malay Restaurant,Caribbean Restaurant,Ramen Restaurant,Deli / Bodega
258,"Shreveport, Louisiana",Mexican Restaurant,Italian Restaurant,Burger Joint,Steakhouse,Seafood Restaurant,Sandwich Place,Cajun / Creole Restaurant,Fried Chicken Joint,American Restaurant,Pizza Place,Southern / Soul Food Restaurant,Fast Food Restaurant,New American Restaurant,Wings Joint,Café,Japanese Restaurant,Deli / Bodega,Donut Shop,Chinese Restaurant,French Restaurant,Breakfast Spot,Bistro,Greek Restaurant,Asian Restaurant,BBQ Joint
259,"Simi Valley, California",Sushi Restaurant,American Restaurant,Pizza Place,Seafood Restaurant,Burger Joint,Café,Sandwich Place,Mexican Restaurant,Italian Restaurant,Bakery,Poke Place,Breakfast Spot,Deli / Bodega,Steakhouse,Mediterranean Restaurant,Thai Restaurant,BBQ Joint,Vegetarian / Vegan Restaurant,Japanese Restaurant,Donut Shop,Caribbean Restaurant,Comfort Food Restaurant,Salad Place,Hot Dog Joint,Noodle House
260,"Sioux Falls, South Dakota",American Restaurant,Sandwich Place,Mexican Restaurant,Pizza Place,Fast Food Restaurant,Bakery,Burger Joint,Chinese Restaurant,Steakhouse,Café,New American Restaurant,Bagel Shop,Fried Chicken Joint,Vietnamese Restaurant,Sushi Restaurant,Asian Restaurant,Italian Restaurant,Japanese Restaurant,Middle Eastern Restaurant,Latin American Restaurant,Wings Joint,Seafood Restaurant,Diner,Burrito Place,Brazilian Restaurant
261,"South Bend, Indiana",Mexican Restaurant,American Restaurant,Italian Restaurant,Pizza Place,Chinese Restaurant,Sandwich Place,Bakery,Breakfast Spot,Steakhouse,Greek Restaurant,Fast Food Restaurant,Burger Joint,Thai Restaurant,Gastropub,Seafood Restaurant,Café,Hot Dog Joint,Polish Restaurant,Cajun / Creole Restaurant,Gluten-free Restaurant,Donut Shop,Comfort Food Restaurant,Indian Restaurant,Vietnamese Restaurant,Diner
262,"Sparks, Nevada",American Restaurant,Breakfast Spot,Pizza Place,Mexican Restaurant,Steakhouse,Italian Restaurant,Café,Burger Joint,Sandwich Place,Thai Restaurant,Bakery,BBQ Joint,Fast Food Restaurant,Chinese Restaurant,Donut Shop,Seafood Restaurant,Fried Chicken Joint,Deli / Bodega,Diner,New American Restaurant,Korean Restaurant,Soup Place,Greek Restaurant,Spanish Restaurant,Sushi Restaurant
263,"Spokane, Washington",Pizza Place,American Restaurant,Diner,Breakfast Spot,Italian Restaurant,Mexican Restaurant,Sandwich Place,Sushi Restaurant,Bakery,Burger Joint,Gastropub,Asian Restaurant,Steakhouse,Café,Vegetarian / Vegan Restaurant,New American Restaurant,Indian Restaurant,Vietnamese Restaurant,Noodle House,Wings Joint,Hot Dog Joint,Greek Restaurant,Seafood Restaurant,Fondue Restaurant,Chinese Restaurant
264,"Springfield, Illinois",American Restaurant,Sandwich Place,Pizza Place,Mexican Restaurant,Italian Restaurant,Steakhouse,Diner,Bakery,Chinese Restaurant,Fast Food Restaurant,Donut Shop,Thai Restaurant,BBQ Joint,New American Restaurant,Asian Restaurant,Wings Joint,Seafood Restaurant,Deli / Bodega,Fried Chicken Joint,Greek Restaurant,Hot Dog Joint,Vietnamese Restaurant,Café,Burger Joint,Japanese Restaurant
265,"Springfield, Massachusetts",American Restaurant,Pizza Place,Bakery,Burger Joint,Breakfast Spot,Italian Restaurant,Sandwich Place,Asian Restaurant,Deli / Bodega,Donut Shop,Seafood Restaurant,Wings Joint,Steakhouse,Mexican Restaurant,Latin American Restaurant,Gastropub,Greek Restaurant,Fast Food Restaurant,Halal Restaurant,BBQ Joint,Noodle House,German Restaurant,Sushi Restaurant,Bagel Shop,Diner
266,"Springfield, Missouri",Mexican Restaurant,Chinese Restaurant,American Restaurant,Italian Restaurant,Pizza Place,Japanese Restaurant,Café,BBQ Joint,Steakhouse,Bakery,Sandwich Place,Breakfast Spot,Fast Food Restaurant,Deli / Bodega,Burger Joint,Donut Shop,Sushi Restaurant,Korean Restaurant,Wings Joint,Asian Restaurant,New American Restaurant,Peruvian Restaurant,Food Truck,Fried Chicken Joint,English Restaurant
267,"St. Louis, Missouri",Pizza Place,Sandwich Place,Italian Restaurant,American Restaurant,New American Restaurant,BBQ Joint,Bakery,Mexican Restaurant,Café,Breakfast Spot,Taco Place,Deli / Bodega,Steakhouse,Donut Shop,Vegetarian / Vegan Restaurant,Southern / Soul Food Restaurant,Thai Restaurant,Gastropub,French Restaurant,Chinese Restaurant,Vietnamese Restaurant,Greek Restaurant,Fast Food Restaurant,Diner,Middle Eastern Restaurant
268,"St. Petersburg, Florida",Pizza Place,American Restaurant,Italian Restaurant,Mexican Restaurant,Café,Seafood Restaurant,Diner,New American Restaurant,Sandwich Place,Fried Chicken Joint,Steakhouse,Fast Food Restaurant,Gastropub,Greek Restaurant,Asian Restaurant,Burger Joint,Breakfast Spot,Ramen Restaurant,Ethiopian Restaurant,Deli / Bodega,Donut Shop,Latin American Restaurant,Cajun / Creole Restaurant,Hot Dog Joint,Bakery
269,"Stamford, Connecticut",Pizza Place,Italian Restaurant,American Restaurant,Greek Restaurant,Deli / Bodega,Mexican Restaurant,Sandwich Place,Bakery,Brazilian Restaurant,Thai Restaurant,Café,Latin American Restaurant,New American Restaurant,Seafood Restaurant,Steakhouse,Cuban Restaurant,BBQ Joint,African Restaurant,Indian Restaurant,Fish & Chips Shop,Japanese Restaurant,Asian Restaurant,Caribbean Restaurant,Bagel Shop,Arepa Restaurant
270,"Sterling Heights, Michigan",Pizza Place,American Restaurant,Breakfast Spot,Sushi Restaurant,Sandwich Place,Bakery,Mexican Restaurant,Mediterranean Restaurant,Diner,Seafood Restaurant,Burger Joint,Italian Restaurant,Middle Eastern Restaurant,Thai Restaurant,Donut Shop,Hot Dog Joint,Steakhouse,Bagel Shop,BBQ Joint,New American Restaurant,Polish Restaurant,Greek Restaurant,Falafel Restaurant,Asian Restaurant,Food
271,"Stockton, California",Mexican Restaurant,Pizza Place,American Restaurant,Bakery,Burger Joint,Fast Food Restaurant,BBQ Joint,Chinese Restaurant,Sushi Restaurant,Breakfast Spot,Italian Restaurant,Indian Restaurant,Sandwich Place,Thai Restaurant,Diner,Japanese Restaurant,Seafood Restaurant,Café,Greek Restaurant,Food Truck,Filipino Restaurant,Snack Place,Deli / Bodega,Wings Joint,Afghan Restaurant
272,"Sugar Land, Texas",Café,Steakhouse,Seafood Restaurant,Mexican Restaurant,Sushi Restaurant,American Restaurant,Burger Joint,Japanese Restaurant,New American Restaurant,Deli / Bodega,French Restaurant,Pizza Place,Fast Food Restaurant,Mediterranean Restaurant,Vietnamese Restaurant,Churrascaria,Sandwich Place,Italian Restaurant,South American Restaurant,Middle Eastern Restaurant,BBQ Joint,Fried Chicken Joint,Breakfast Spot,Chinese Restaurant,Fondue Restaurant
273,"Sunnyvale, California",Sandwich Place,Pizza Place,American Restaurant,Café,Burger Joint,Mexican Restaurant,Seafood Restaurant,Japanese Restaurant,Israeli Restaurant,Korean Restaurant,Greek Restaurant,Breakfast Spot,Cajun / Creole Restaurant,Italian Restaurant,Caribbean Restaurant,Vietnamese Restaurant,Chinese Restaurant,Mediterranean Restaurant,Donut Shop,Middle Eastern Restaurant,Falafel Restaurant,Vegetarian / Vegan Restaurant,Food Court,Fast Food Restaurant,Mongolian Restaurant
274,"Surprise, Arizona",Mexican Restaurant,Pizza Place,American Restaurant,Sandwich Place,Italian Restaurant,Burger Joint,Vietnamese Restaurant,Greek Restaurant,Asian Restaurant,Sushi Restaurant,Fast Food Restaurant,Steakhouse,BBQ Joint,Bakery,Breakfast Spot,Seafood Restaurant,Fried Chicken Joint,Cajun / Creole Restaurant,Vegetarian / Vegan Restaurant,Mediterranean Restaurant,Diner,Gluten-free Restaurant,Gastropub,Chinese Restaurant,Latin American Restaurant
275,"Syracuse, New York",Pizza Place,American Restaurant,Italian Restaurant,Diner,Sandwich Place,Mexican Restaurant,Bakery,Café,Breakfast Spot,Gastropub,Steakhouse,New American Restaurant,Burger Joint,Sushi Restaurant,Thai Restaurant,BBQ Joint,Eastern European Restaurant,Deli / Bodega,Fish & Chips Shop,Fast Food Restaurant,Japanese Restaurant,Latin American Restaurant,Middle Eastern Restaurant,Korean Restaurant,Chinese Restaurant
276,"Tacoma, Washington",Mexican Restaurant,Pizza Place,Vietnamese Restaurant,Café,Sandwich Place,Italian Restaurant,Bakery,Burger Joint,Sushi Restaurant,Diner,Seafood Restaurant,Food Truck,Japanese Restaurant,New American Restaurant,Thai Restaurant,Indian Restaurant,BBQ Joint,Taco Place,Asian Restaurant,Fast Food Restaurant,Donut Shop,Breakfast Spot,Dumpling Restaurant,Hawaiian Restaurant,Steakhouse
277,"Tallahassee, Florida",Pizza Place,Sandwich Place,Café,American Restaurant,Burger Joint,Mexican Restaurant,Japanese Restaurant,Breakfast Spot,Italian Restaurant,Donut Shop,Fast Food Restaurant,Steakhouse,Bakery,Seafood Restaurant,New American Restaurant,Sushi Restaurant,Hot Dog Joint,Thai Restaurant,Asian Restaurant,Vegetarian / Vegan Restaurant,Mediterranean Restaurant,BBQ Joint,Indian Restaurant,Greek Restaurant,Diner
278,"Tampa, Florida",Pizza Place,American Restaurant,Italian Restaurant,Mexican Restaurant,New American Restaurant,Sandwich Place,Seafood Restaurant,Fast Food Restaurant,Sushi Restaurant,Cuban Restaurant,Caribbean Restaurant,Bakery,Breakfast Spot,Steakhouse,Diner,Spanish Restaurant,Fried Chicken Joint,Thai Restaurant,Vietnamese Restaurant,BBQ Joint,Brazilian Restaurant,Korean Restaurant,Greek Restaurant,Argentinian Restaurant,Asian Restaurant
279,"Temecula, California",American Restaurant,Mexican Restaurant,Pizza Place,Sushi Restaurant,Italian Restaurant,Bakery,Breakfast Spot,Burger Joint,Gastropub,BBQ Joint,Fast Food Restaurant,Seafood Restaurant,Sandwich Place,Steakhouse,Thai Restaurant,Hot Dog Joint,Chinese Restaurant,Deli / Bodega,Café,Diner,Cuban Restaurant,Bistro,Japanese Restaurant,Greek Restaurant,Vietnamese Restaurant
280,"Tempe, Arizona",Pizza Place,Sandwich Place,American Restaurant,Burger Joint,Italian Restaurant,Mexican Restaurant,New American Restaurant,Café,BBQ Joint,Breakfast Spot,Vegetarian / Vegan Restaurant,Steakhouse,Mediterranean Restaurant,Seafood Restaurant,Korean Restaurant,Fast Food Restaurant,Hot Dog Joint,Greek Restaurant,Gastropub,Chinese Restaurant,Japanese Restaurant,Deli / Bodega,English Restaurant,Middle Eastern Restaurant,Donut Shop
281,"Thornton, Colorado",American Restaurant,Pizza Place,Breakfast Spot,Mexican Restaurant,Italian Restaurant,Burger Joint,New American Restaurant,Sandwich Place,Taco Place,Fast Food Restaurant,Steakhouse,Gastropub,Sushi Restaurant,BBQ Joint,Comfort Food Restaurant,Indian Restaurant,Seafood Restaurant,Food Court,Japanese Restaurant,Chinese Restaurant,Burrito Place,Korean Restaurant,Mediterranean Restaurant,Café,Wings Joint
282,"Thousand Oaks, California",Seafood Restaurant,American Restaurant,Pizza Place,Sushi Restaurant,Sandwich Place,Café,Burger Joint,Breakfast Spot,Deli / Bodega,Italian Restaurant,Vietnamese Restaurant,Poke Place,Mexican Restaurant,Vegetarian / Vegan Restaurant,Thai Restaurant,Bakery,Steakhouse,BBQ Joint,Japanese Restaurant,French Restaurant,Australian Restaurant,Asian Restaurant,Salad Place,Hot Dog Joint,Caribbean Restaurant
283,"Toledo, Ohio",Pizza Place,American Restaurant,Italian Restaurant,Sushi Restaurant,Mexican Restaurant,Diner,Steakhouse,Fast Food Restaurant,Mediterranean Restaurant,Burger Joint,Sandwich Place,BBQ Joint,Bakery,Lebanese Restaurant,Seafood Restaurant,Middle Eastern Restaurant,Bagel Shop,Breakfast Spot,Hot Dog Joint,Wings Joint,Korean Restaurant,Japanese Restaurant,Molecular Gastronomy Restaurant,Indian Restaurant,Mongolian Restaurant
284,"Topeka, Kansas",Pizza Place,Mexican Restaurant,Burger Joint,Sandwich Place,Bakery,Fast Food Restaurant,American Restaurant,Chinese Restaurant,Asian Restaurant,Breakfast Spot,Vietnamese Restaurant,Italian Restaurant,Japanese Restaurant,Donut Shop,Steakhouse,BBQ Joint,Indian Restaurant,Seafood Restaurant,Café,Mediterranean Restaurant,Deli / Bodega,Cajun / Creole Restaurant,Noodle House,Diner,Fried Chicken Joint
285,"Torrance, California",Mexican Restaurant,Italian Restaurant,Sushi Restaurant,New American Restaurant,Seafood Restaurant,Café,Korean Restaurant,American Restaurant,Deli / Bodega,Burger Joint,Japanese Restaurant,Sandwich Place,Bakery,Thai Restaurant,Vegetarian / Vegan Restaurant,Mediterranean Restaurant,German Restaurant,Australian Restaurant,French Restaurant,Food Truck,Steakhouse,Fried Chicken Joint,Fast Food Restaurant,Pizza Place,Poke Place
286,"Tucson, Arizona",Mexican Restaurant,Pizza Place,American Restaurant,Sandwich Place,Burger Joint,Breakfast Spot,Steakhouse,Bakery,Vietnamese Restaurant,Italian Restaurant,Diner,Café,Indian Restaurant,Deli / Bodega,Fast Food Restaurant,Salad Place,Taco Place,Mediterranean Restaurant,Mac & Cheese Joint,Chinese Restaurant,Burrito Place,New American Restaurant,Southern / Soul Food Restaurant,French Restaurant,Fried Chicken Joint
287,"Tulsa, Oklahoma",Mexican Restaurant,Pizza Place,American Restaurant,Burger Joint,Asian Restaurant,Deli / Bodega,Bakery,Seafood Restaurant,Steakhouse,Vietnamese Restaurant,New American Restaurant,Bagel Shop,Fast Food Restaurant,Italian Restaurant,Gastropub,Cajun / Creole Restaurant,German Restaurant,BBQ Joint,Diner,Mediterranean Restaurant,Chinese Restaurant,Café,Hot Dog Joint,Donut Shop,Caribbean Restaurant
288,"Tuscaloosa, Alabama",Mexican Restaurant,Sandwich Place,BBQ Joint,Burger Joint,American Restaurant,Seafood Restaurant,Fast Food Restaurant,Steakhouse,Chinese Restaurant,Pizza Place,Deli / Bodega,Fried Chicken Joint,Italian Restaurant,Japanese Restaurant,Mediterranean Restaurant,Breakfast Spot,Bakery,Thai Restaurant,Asian Restaurant,Café,German Restaurant,Greek Restaurant,Indian Restaurant,Donut Shop,New American Restaurant
289,"Tyler, Texas",Mexican Restaurant,Burger Joint,American Restaurant,Fast Food Restaurant,Italian Restaurant,Fried Chicken Joint,Pizza Place,Sandwich Place,Steakhouse,Seafood Restaurant,Diner,Breakfast Spot,Taco Place,Mediterranean Restaurant,Bakery,BBQ Joint,Deli / Bodega,Japanese Restaurant,Café,Cajun / Creole Restaurant,Chinese Restaurant,New American Restaurant,French Restaurant,Brazilian Restaurant,Tex-Mex Restaurant
290,"Vacaville, California",Mexican Restaurant,American Restaurant,Burger Joint,Café,French Restaurant,Fast Food Restaurant,Pizza Place,Italian Restaurant,Breakfast Spot,New American Restaurant,Bakery,Steakhouse,Asian Restaurant,Vietnamese Restaurant,Sandwich Place,Seafood Restaurant,Sushi Restaurant,Diner,Donut Shop,Creperie,Mediterranean Restaurant,Deli / Bodega,Chinese Restaurant,Cajun / Creole Restaurant,Irish Pub
291,"Vallejo, California",Pizza Place,Café,Mexican Restaurant,Bakery,Italian Restaurant,American Restaurant,Burger Joint,Deli / Bodega,Seafood Restaurant,Breakfast Spot,Food Truck,Vietnamese Restaurant,Japanese Restaurant,New American Restaurant,Thai Restaurant,Sandwich Place,Mediterranean Restaurant,Steakhouse,Latin American Restaurant,Brazilian Restaurant,French Restaurant,Asian Restaurant,Salad Place,Russian Restaurant,Caribbean Restaurant
292,"Vancouver, Washington",Pizza Place,Thai Restaurant,Café,Mexican Restaurant,Vietnamese Restaurant,Food Truck,Sandwich Place,Bakery,French Restaurant,Southern / Soul Food Restaurant,Middle Eastern Restaurant,Vegetarian / Vegan Restaurant,Mediterranean Restaurant,Korean Restaurant,Donut Shop,Italian Restaurant,Diner,Sushi Restaurant,New American Restaurant,Taco Place,Tapas Restaurant,Bagel Shop,American Restaurant,BBQ Joint,Asian Restaurant
293,"Ventura, California",Mexican Restaurant,Pizza Place,Seafood Restaurant,Burger Joint,Breakfast Spot,American Restaurant,Italian Restaurant,Chinese Restaurant,BBQ Joint,Café,Japanese Restaurant,Sandwich Place,Thai Restaurant,Vietnamese Restaurant,Indian Restaurant,Donut Shop,Sushi Restaurant,Steakhouse,French Restaurant,Deli / Bodega,Brazilian Restaurant,Fast Food Restaurant,Taco Place,Bakery,Cajun / Creole Restaurant
294,"Victorville, California",Mexican Restaurant,American Restaurant,Pizza Place,Burger Joint,Diner,Italian Restaurant,Sandwich Place,Café,Sushi Restaurant,Fast Food Restaurant,Breakfast Spot,Thai Restaurant,Steakhouse,Donut Shop,Chinese Restaurant,Bakery,Falafel Restaurant,Seafood Restaurant,Deli / Bodega,Japanese Restaurant,Korean Restaurant,Mediterranean Restaurant,BBQ Joint,Noodle House,Asian Restaurant
295,"Virginia Beach, Virginia",American Restaurant,Seafood Restaurant,Breakfast Spot,Sandwich Place,Mexican Restaurant,Italian Restaurant,Pizza Place,Sushi Restaurant,Burger Joint,Fast Food Restaurant,Donut Shop,Chinese Restaurant,Steakhouse,New American Restaurant,Vietnamese Restaurant,Thai Restaurant,BBQ Joint,Gastropub,Bakery,Mediterranean Restaurant,Fondue Restaurant,Caribbean Restaurant,Comfort Food Restaurant,Deli / Bodega,Diner
296,"Visalia, California",Mexican Restaurant,Burger Joint,American Restaurant,Pizza Place,Diner,Fast Food Restaurant,Sushi Restaurant,Breakfast Spot,Café,Japanese Restaurant,Bakery,Mediterranean Restaurant,Vietnamese Restaurant,Italian Restaurant,Food,Chinese Restaurant,Donut Shop,Food Court,Seafood Restaurant,New American Restaurant,Sandwich Place,Wings Joint,Vegetarian / Vegan Restaurant,Taco Place,Indian Restaurant
297,"Vista, California",American Restaurant,Pizza Place,Bakery,Seafood Restaurant,Italian Restaurant,Mexican Restaurant,Breakfast Spot,Sushi Restaurant,Sandwich Place,Burger Joint,Taco Place,Gastropub,Deli / Bodega,Café,New American Restaurant,BBQ Joint,Mediterranean Restaurant,Fast Food Restaurant,Salad Place,Cuban Restaurant,Falafel Restaurant,Donut Shop,Dumpling Restaurant,Greek Restaurant,Japanese Restaurant
298,"Waco, Texas",Mexican Restaurant,Burger Joint,American Restaurant,Pizza Place,Fast Food Restaurant,Bakery,Steakhouse,Deli / Bodega,Fried Chicken Joint,Sandwich Place,Italian Restaurant,Breakfast Spot,Chinese Restaurant,Czech Restaurant,Mediterranean Restaurant,Donut Shop,New American Restaurant,Café,Seafood Restaurant,Food Court,Cajun / Creole Restaurant,Food Truck,Sushi Restaurant,Japanese Restaurant,Taco Place
